id,name,hamletId,officialOrder
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_ezimbara_umuezeona_umu_ulasika,Umu - Ulasika,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_ezimbara_umuezeona,1
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_ezimbara_umuezeona_umu_ezediogu,Umu - Ezediogu,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_ezimbara_umuezeona,2
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_ezimbara_umuezeona_umu_ezeocha,Umu - Ezeocha,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_ezimbara_umuezeona,3
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_ezimbara_umuezeona_odiba,Odiba,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_ezimbara_umuezeona,4
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_ndiezeana_mmedoro_umu_ezitogu,Umu - Ezitogu,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_ndiezeana_mmedoro,1
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_ndiezeana_mmedoro_umu_okorafor,Umu - Okorafor,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_ndiezeana_mmedoro,2
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_ndiezeana_mmedoro_umu_ekwusim,Umu - Ekwusim,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_ndiezeana_mmedoro,3
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_umuezeanekwu_umu_ezeanaekwu,Umu - Ezeanaekwu,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_umuezeanekwu,1
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_umudarauzu_umu_ezeadim,Umu - Ezeadim,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_umudarauzu,1
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_umudarauzu_umu_okparamizu,Umu - Okparamizu,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_umudarauzu,2
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_umuagu_umu_anyadike,Umu - Anyadike,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_umuagu,1
