stateId,stateName,regionId,regionName
abia,Abia,south_east,South East
anambra,Anambra,south_east,South East
enugu,Enugu,south_east,South East
ebonyi,Ebonyi,south_east,South East
imo,Imo,south_east,South East
delta,Delta,south_south,South-South
akwa_ibom,Akwa Ibom,south_south,South-South
bayelsa,Bayelsa,south_south,South-South
cross_river,Cross River,south_south,South-South
rivers,Rivers,south_south,South-South
kogi,Kogi,north_central,North Central
