geopolitical_bloc_id,geopolitical_bloc_name,continent_id
GB_ECOWAS,ECOWAS,CONT_AF
GB_ECCAS,ECCAS,CONT_AF
GB_AU,African Union,CONT_AF
GB_CARICOM,CARICOM,CONT_CA
GB_OAS,OAS,CONT_NA
GB_MERCOSUR,MERCOSUR,CONT_SA
GB_EU,European Union,CONT_EU
GB_GCC,GCC,CONT_AS
GB_ANZ,ANZ Realm,CONT_OC
GB_COMMONWEALTH,Commonwealth,CONT_EU
