admin_level_2_id,admin_level_2_name,admin_level_1_id,country_id
ADM2_BEN_OUEME_PORTO_NOVO,Porto Novo,ADM1_BEN_OUEME,CT_BEN
ADM2_BEN_OUEME_SEME_KPODJI,Sèmè-Kpodji,ADM1_BEN_OUEME,CT_BEN
ADM2_BEN_PLATEAU_ADJA_OUERE,Adja-Ouèrè,ADM1_BEN_PLATEAU,CT_BEN
ADM2_BEN_PLATEAU_IFANGNI,Ifangni,ADM1_BEN_PLATEAU,CT_BEN
ADM2_BEN_PLATEAU_KETOU,Kétou,ADM1_BEN_PLATEAU,CT_BEN
ADM2_BEN_PLATEAU_POBE,Pobè,ADM1_BEN_PLATEAU,CT_BEN
ADM2_BEN_PLATEAU_SAKETE,Sakété,ADM1_BEN_PLATEAU,CT_BEN
ADM2_BEN_ZOU_ABOMEY,Abomey,ADM1_BEN_ZOU,CT_BEN
ADM2_BEN_ZOU_AGBANGNIZOUN,Agbangnizoun,ADM1_BEN_ZOU,CT_BEN
ADM2_BEN_ZOU_BOHICON,Bohicon,ADM1_BEN_ZOU,CT_BEN
ADM2_BEN_ZOU_COVE,Cové,ADM1_BEN_ZOU,CT_BEN
ADM2_BEN_ZOU_DJIDJA,Djidja,ADM1_BEN_ZOU,CT_BEN
ADM2_BEN_ZOU_OUINHI,Ouinhi,ADM1_BEN_ZOU,CT_BEN
ADM2_BEN_ZOU_ZA_KPOTA,Za-Kpota,ADM1_BEN_ZOU,CT_BEN
ADM2_BEN_ZOU_ZANGNANADO,Zangnanado,ADM1_BEN_ZOU,CT_BEN
ADM2_BEN_ZOU_ZOGBODOMEY,Zogbodomey,ADM1_BEN_ZOU,CT_BEN
ADM2_BRA_ALAGOAS_ARAPIRACA,Arapiraca,ADM1_BRA_ALAGOAS,CT_BRA
ADM2_BRA_ALAGOAS_MACEIO,Maceió,ADM1_BRA_ALAGOAS,CT_BRA
ADM2_BRA_ALAGOAS_MARECHAL_DEODORO,Marechal Deodoro,ADM1_BRA_ALAGOAS,CT_BRA
ADM2_BRA_ALAGOAS_PENEDO,Penedo,ADM1_BRA_ALAGOAS,CT_BRA
ADM2_BRA_BAHIA_CACHOEIRA,Cachoeira,ADM1_BRA_BAHIA,CT_BRA
ADM2_BRA_BAHIA_CAMACARI,Camaçari,ADM1_BRA_BAHIA,CT_BRA
ADM2_BRA_BAHIA_FEIRA_DE_SANTANA,Feira de Santana,ADM1_BRA_BAHIA,CT_BRA
ADM2_BRA_BAHIA_ILHEUS,Ilhéus,ADM1_BRA_BAHIA,CT_BRA
ADM2_BRA_BAHIA_ITABUNA,Itabuna,ADM1_BRA_BAHIA,CT_BRA
ADM2_BRA_BAHIA_SALVADOR,Salvador,ADM1_BRA_BAHIA,CT_BRA
ADM2_BRA_CEARA_CAUCAIA,Caucaia,ADM1_BRA_CEARA,CT_BRA
ADM2_BRA_CEARA_FORTALEZA,Fortaleza,ADM1_BRA_CEARA,CT_BRA
ADM2_BRA_CEARA_MARACANAU,Maracanaú,ADM1_BRA_CEARA,CT_BRA
ADM2_BRA_CEARA_SOBRAL,Sobral,ADM1_BRA_CEARA,CT_BRA
ADM2_BRA_ESPIRITO_SANTO_CARIACICA,Cariacica,ADM1_BRA_ESPIRITO_SANTO,CT_BRA
ADM2_BRA_ESPIRITO_SANTO_SERRA,Serra,ADM1_BRA_ESPIRITO_SANTO,CT_BRA
ADM2_BRA_ESPIRITO_SANTO_VILA_VELHA,Vila Velha,ADM1_BRA_ESPIRITO_SANTO,CT_BRA
ADM2_BRA_ESPIRITO_SANTO_VITORIA,Vitória,ADM1_BRA_ESPIRITO_SANTO,CT_BRA
ADM2_BRA_MARANHAO_ALCANTARA,Alcântara,ADM1_BRA_MARANHAO,CT_BRA
ADM2_BRA_MARANHAO_CAXIAS,Caxias,ADM1_BRA_MARANHAO,CT_BRA
ADM2_BRA_MARANHAO_IMPERATRIZ,Imperatriz,ADM1_BRA_MARANHAO,CT_BRA
ADM2_BRA_MARANHAO_SAO_LUIS,São Luís,ADM1_BRA_MARANHAO,CT_BRA
ADM2_BRA_MINAS_GERAIS_BELO_HORIZONTE,Belo Horizonte,ADM1_BRA_MINAS_GERAIS,CT_BRA
ADM2_BRA_MINAS_GERAIS_BETIM,Betim,ADM1_BRA_MINAS_GERAIS,CT_BRA
ADM2_BRA_MINAS_GERAIS_CONTAGEM,Contagem,ADM1_BRA_MINAS_GERAIS,CT_BRA
ADM2_BRA_MINAS_GERAIS_JUIZ_DE_FORA,Juiz de Fora,ADM1_BRA_MINAS_GERAIS,CT_BRA
ADM2_BRA_MINAS_GERAIS_UBERLANDIA,Uberlândia,ADM1_BRA_MINAS_GERAIS,CT_BRA
ADM2_BRA_PARA_ABAETETUBA,Abaetetuba,ADM1_BRA_PARA,CT_BRA
ADM2_BRA_PARA_ANANINDEUA,Ananindeua,ADM1_BRA_PARA,CT_BRA
ADM2_BRA_PARA_BELEM,Belém,ADM1_BRA_PARA,CT_BRA
ADM2_BRA_PARA_BRAGANCA,Bragança,ADM1_BRA_PARA,CT_BRA
ADM2_BRA_PARA_SANTAREM,Santarém,ADM1_BRA_PARA,CT_BRA
ADM2_BRA_PARAIBA_CAMPINA_GRANDE,Campina Grande,ADM1_BRA_PARAIBA,CT_BRA
ADM2_BRA_PARAIBA_JOAO_PESSOA,João Pessoa,ADM1_BRA_PARAIBA,CT_BRA
ADM2_BRA_PARAIBA_SANTA_RITA,Santa Rita,ADM1_BRA_PARAIBA,CT_BRA
ADM2_BRA_PERNAMBUCO_IGARASSU,Igarassu,ADM1_BRA_PERNAMBUCO,CT_BRA
ADM2_BRA_PERNAMBUCO_JABOATAO_DOS_GUARARAPES,Jaboatão dos Guararapes,ADM1_BRA_PERNAMBUCO,CT_BRA
ADM2_BRA_PERNAMBUCO_OLINDA,Olinda,ADM1_BRA_PERNAMBUCO,CT_BRA
ADM2_BRA_PERNAMBUCO_PAULISTA,Paulista,ADM1_BRA_PERNAMBUCO,CT_BRA
ADM2_BRA_PERNAMBUCO_RECIFE,Recife,ADM1_BRA_PERNAMBUCO,CT_BRA
ADM2_BRA_RIO_DE_JANEIRO_BELFORD_ROXO,Belford Roxo,ADM1_BRA_RIO_DE_JANEIRO,CT_BRA
ADM2_BRA_RIO_DE_JANEIRO_DUQUE_DE_CAXIAS,Duque de Caxias,ADM1_BRA_RIO_DE_JANEIRO,CT_BRA
ADM2_BRA_RIO_DE_JANEIRO_NITEROI,Niterói,ADM1_BRA_RIO_DE_JANEIRO,CT_BRA
ADM2_BRA_RIO_DE_JANEIRO_NOVA_IGUACU,Nova Iguaçu,ADM1_BRA_RIO_DE_JANEIRO,CT_BRA
ADM2_BRA_RIO_DE_JANEIRO_RIO_DE_JANEIRO,Rio de Janeiro,ADM1_BRA_RIO_DE_JANEIRO,CT_BRA
ADM2_BRA_RIO_DE_JANEIRO_SAO_GONCALO,São Gonçalo,ADM1_BRA_RIO_DE_JANEIRO,CT_BRA
ADM2_BRA_SAO_PAULO_CAMPINAS,Campinas,ADM1_BRA_SAO_PAULO,CT_BRA
ADM2_BRA_SAO_PAULO_GUARULHOS,Guarulhos,ADM1_BRA_SAO_PAULO,CT_BRA
ADM2_BRA_SAO_PAULO_OSASCO,Osasco,ADM1_BRA_SAO_PAULO,CT_BRA
ADM2_BRA_SAO_PAULO_SANTOS,Santos,ADM1_BRA_SAO_PAULO,CT_BRA
ADM2_BRA_SAO_PAULO_SAO_BERNARDO_DO_CAMPO,São Bernardo do Campo,ADM1_BRA_SAO_PAULO,CT_BRA
ADM2_BRA_SAO_PAULO_SAO_PAULO,São Paulo,ADM1_BRA_SAO_PAULO,CT_BRA
ADM2_BRA_SERGIPE_ARACAJU,Aracaju,ADM1_BRA_SERGIPE,CT_BRA
ADM2_BRA_SERGIPE_LAGARTO,Lagarto,ADM1_BRA_SERGIPE,CT_BRA
ADM2_BRA_SERGIPE_NOSSA_SENHORA_DO_SOCORRO,Nossa Senhora do Socorro,ADM1_BRA_SERGIPE,CT_BRA
ADM2_CAN_BRITISH_COLUMBIA_CAPITAL,Capital,ADM1_CAN_BRITISH_COLUMBIA,CT_CAN
ADM2_CAN_BRITISH_COLUMBIA_CENTRAL_OKANAGAN,Central Okanagan,ADM1_CAN_BRITISH_COLUMBIA,CT_CAN
ADM2_CAN_BRITISH_COLUMBIA_FRASER_VALLEY,Fraser Valley,ADM1_CAN_BRITISH_COLUMBIA,CT_CAN
ADM2_CAN_BRITISH_COLUMBIA_METRO_VANCOUVER,Metro Vancouver,ADM1_CAN_BRITISH_COLUMBIA,CT_CAN
