economic_region_id,economic_region_name,continent_id
ER_AF_WA,West Africa,CONT_AF
ER_AF_CA,Central Africa,CONT_AF
ER_AF_SA,Southern Africa,CONT_AF
ER_AF_EA,East Africa,CONT_AF
ER_CAR,Caribbean,CONT_CA
ER_NA_AMN,Northern America,CONT_NA
ER_SA,South America,CONT_SA
ER_EU_WE,Western Europe,CONT_EU
ER_EU_SE,Southern Europe,CONT_EU
ER_AS_WA,Western Asia,CONT_AS
ER_OC_ANZ,Australia and New Zealand,CONT_OC
