country_id,country_name,admin_level_1_id,admin_level_1_name,admin_level_2_id,admin_level_2_name,admin_level_3_count
CT_CMR,Cameroon,ADM1_CMR_ADAMAWA,Adamawa,ADM2_CMR_DJEREM,Djérem,2
CT_CMR,Cameroon,ADM1_CMR_ADAMAWA,Adamawa,ADM2_CMR_FARO_ET_DEO,Faro-et-Déo,4
CT_CMR,Cameroon,ADM1_CMR_ADAMAWA,Adamawa,ADM2_CMR_MAYO_BANYO,Mayo-Banyo,3
CT_CMR,Cameroon,ADM1_CMR_ADAMAWA,Adamawa,ADM2_CMR_MBERE,Mbéré,4
CT_CMR,Cameroon,ADM1_CMR_ADAMAWA,Adamawa,ADM2_CMR_VINA,Vina,6
CT_CMR,Cameroon,ADM1_CMR_CENTRE,Centre,ADM2_CMR_HAUTE_SANAGA,Haute-Sanaga,7
CT_CMR,Cameroon,ADM1_CMR_CENTRE,Centre,ADM2_CMR_LEKIE,Lekié,9
CT_CMR,Cameroon,ADM1_CMR_CENTRE,Centre,ADM2_CMR_MBAM_ET_INOUBOU,Mbam-et-Inoubou,9
CT_CMR,Cameroon,ADM1_CMR_CENTRE,Centre,ADM2_CMR_MBAM_ET_KIM,Mbam-et-Kim,5
CT_CMR,Cameroon,ADM1_CMR_CENTRE,Centre,ADM2_CMR_MEFOU_ET_AFAMBA,Méfou-et-Afamba,8
CT_CMR,Cameroon,ADM1_CMR_CENTRE,Centre,ADM2_CMR_MEFOU_ET_AKONO,Méfou-et-Akono,4
CT_CMR,Cameroon,ADM1_CMR_CENTRE,Centre,ADM2_CMR_MFOUNDI,Mfoundi,1
CT_CMR,Cameroon,ADM1_CMR_CENTRE,Centre,ADM2_CMR_NYONG_ET_KELLE,Nyong-et-Kéllé,10
CT_CMR,Cameroon,ADM1_CMR_CENTRE,Centre,ADM2_CMR_NYONG_ET_MFOUMOU,Nyong-et-Mfoumou,5
CT_CMR,Cameroon,ADM1_CMR_CENTRE,Centre,ADM2_CMR_NYONG_ET_SOO,Nyong-et-So'o,6
CT_CMR,Cameroon,ADM1_CMR_EAST,East,ADM2_CMR_BOUMBA_ET_NGOKO,Boumba-et-Ngoko,4
CT_CMR,Cameroon,ADM1_CMR_EAST,East,ADM2_CMR_HAUT_NYONG,Haut-Nyong,14
CT_CMR,Cameroon,ADM1_CMR_EAST,East,ADM2_CMR_KADEY,Kadey,7
CT_CMR,Cameroon,ADM1_CMR_EAST,East,ADM2_CMR_LOM_ET_DJEREM,Lom-et-Djerem,7
CT_CMR,Cameroon,ADM1_CMR_FAR_NORTH,Far North,ADM2_CMR_DIAMARE,Diamaré,7
CT_CMR,Cameroon,ADM1_CMR_FAR_NORTH,Far North,ADM2_CMR_LOGONE_ET_CHARI,Logone-et-Chari,9
CT_CMR,Cameroon,ADM1_CMR_FAR_NORTH,Far North,ADM2_CMR_MAYO_DANAY,Mayo-Danay,11
CT_CMR,Cameroon,ADM1_CMR_FAR_NORTH,Far North,ADM2_CMR_MAYO_KANI,Mayo-Kani,7
CT_CMR,Cameroon,ADM1_CMR_FAR_NORTH,Far North,ADM2_CMR_MAYO_SAVA,Mayo-Sava,3
CT_CMR,Cameroon,ADM1_CMR_FAR_NORTH,Far North,ADM2_CMR_MAYO_TSANAGA,Mayo-Tsanaga,7
CT_CMR,Cameroon,ADM1_CMR_LITTORAL,Littoral,ADM2_CMR_MOUNGO,Moungo,12
CT_CMR,Cameroon,ADM1_CMR_LITTORAL,Littoral,ADM2_CMR_NKAM,Nkam,4
CT_CMR,Cameroon,ADM1_CMR_LITTORAL,Littoral,ADM2_CMR_SANAGA_MARITIME,Sanaga-Maritime,10
CT_CMR,Cameroon,ADM1_CMR_LITTORAL,Littoral,ADM2_CMR_WOURI,Wouri,2
CT_CMR,Cameroon,ADM1_CMR_NORTH,North,ADM2_CMR_BENOUE,Bénoué,11
CT_CMR,Cameroon,ADM1_CMR_NORTH,North,ADM2_CMR_FARO,Faro,2
CT_CMR,Cameroon,ADM1_CMR_NORTH,North,ADM2_CMR_MAYO_LOUTI,Mayo-Louti,3
CT_CMR,Cameroon,ADM1_CMR_NORTH,North,ADM2_CMR_MAYO_REY,Mayo-Rey,4
CT_CMR,Cameroon,ADM1_CMR_NORTHWEST,Northwest,ADM2_CMR_BOYO,Boyo,4
CT_CMR,Cameroon,ADM1_CMR_NORTHWEST,Northwest,ADM2_CMR_BUI,Bui,6
CT_CMR,Cameroon,ADM1_CMR_NORTHWEST,Northwest,ADM2_CMR_DONGA_MANTUNG,Donga-Mantung,5
CT_CMR,Cameroon,ADM1_CMR_NORTHWEST,Northwest,ADM2_CMR_MENCHUM,Menchum,4
CT_CMR,Cameroon,ADM1_CMR_NORTHWEST,Northwest,ADM2_CMR_MEZAM,Mezam,5
CT_CMR,Cameroon,ADM1_CMR_NORTHWEST,Northwest,ADM2_CMR_MOMO,Momo,5
CT_CMR,Cameroon,ADM1_CMR_NORTHWEST,Northwest,ADM2_CMR_NGO_KETUNJIA,Ngo-ketunjia,3
CT_CMR,Cameroon,ADM1_CMR_SOUTH,South,ADM2_CMR_DJA_ET_LOBO,Dja-et-Lobo,8
