country_id,country_name,admin_level_1_id,admin_level_1_name,admin_level_2_id,admin_level_2_name,admin_level_3_count
CT_BEN,Benin,ADM1_BEN_ALIBORI,Alibori,ADM2_BEN_ALIBORI_BANIKOARA,Banikoara,10
CT_BEN,Benin,ADM1_BEN_ALIBORI,Alibori,ADM2_BEN_ALIBORI_GOGOUNOU,Gogounou,6
CT_BEN,Benin,ADM1_BEN_ALIBORI,Alibori,ADM2_BEN_ALIBORI_KANDI,Kandi,10
CT_BEN,Benin,ADM1_BEN_ALIBORI,Alibori,ADM2_BEN_ALIBORI_KARIMAMA,Karimama,5
CT_BEN,Benin,ADM1_BEN_ALIBORI,Alibori,ADM2_BEN_ALIBORI_MALANVILLE,Malanville,5
CT_BEN,Benin,ADM1_BEN_ALIBORI,Alibori,ADM2_BEN_ALIBORI_SEGBANA,Segbana,5
CT_BEN,Benin,ADM1_BEN_ATAKORA,Atakora,ADM2_BEN_ATAKORA_BOUKOUMBE,Boukoumbé,7
CT_BEN,Benin,ADM1_BEN_ATAKORA,Atakora,ADM2_BEN_ATAKORA_COBLY,Cobly,4
CT_BEN,Benin,ADM1_BEN_ATAKORA,Atakora,ADM2_BEN_ATAKORA_KEROU,Kérou,4
CT_BEN,Benin,ADM1_BEN_ATAKORA,Atakora,ADM2_BEN_ATAKORA_KOUANDE,Kouandé,6
CT_BEN,Benin,ADM1_BEN_ATAKORA,Atakora,ADM2_BEN_ATAKORA_MATERI,Matéri,6
CT_BEN,Benin,ADM1_BEN_ATAKORA,Atakora,ADM2_BEN_ATAKORA_NATITINGOU,Natitingou,9
CT_BEN,Benin,ADM1_BEN_ATAKORA,Atakora,ADM2_BEN_ATAKORA_PEHONKO,Pehonko,3
CT_BEN,Benin,ADM1_BEN_ATAKORA,Atakora,ADM2_BEN_ATAKORA_TANGUIETA,Tanguiéta,5
CT_BEN,Benin,ADM1_BEN_ATAKORA,Atakora,ADM2_BEN_ATAKORA_TOUCOUNTOUNA,Toucountouna,3
CT_BEN,Benin,ADM1_BEN_ATLANTIQUE,Atlantique,ADM2_BEN_ATLANTIQUE_ABOMEY_CALAVI,Abomey-Calavi,9
CT_BEN,Benin,ADM1_BEN_ATLANTIQUE,Atlantique,ADM2_BEN_ATLANTIQUE_ALLADA,Allada,12
CT_BEN,Benin,ADM1_BEN_ATLANTIQUE,Atlantique,ADM2_BEN_ATLANTIQUE_KPOMASSE,Kpomassè,9
CT_BEN,Benin,ADM1_BEN_ATLANTIQUE,Atlantique,ADM2_BEN_ATLANTIQUE_OUIDAH,Ouidah,10
CT_BEN,Benin,ADM1_BEN_ATLANTIQUE,Atlantique,ADM2_BEN_ATLANTIQUE_SO_AVA,Sô-Ava,7
CT_BEN,Benin,ADM1_BEN_ATLANTIQUE,Atlantique,ADM2_BEN_ATLANTIQUE_TOFFO,Toffo,10
CT_BEN,Benin,ADM1_BEN_ATLANTIQUE,Atlantique,ADM2_BEN_ATLANTIQUE_TORI_BOSSITO,Tori-Bossito,6
