country_id,country_name,admin_level_1_id,admin_level_1_name,admin_level_2_id,admin_level_2_name,admin_level_3_count
CT_GAB,Gabon,ADM1_GAB_ESTUAIRE,Estuaire,ADM2_GAB_ESTUAIRE_LIBREVILLE,Libreville,6
CT_GAB,Gabon,ADM1_GAB_ESTUAIRE,Estuaire,ADM2_GAB_ESTUAIRE_KOMO,Komo,4
CT_GAB,Gabon,ADM1_GAB_ESTUAIRE,Estuaire,ADM2_GAB_ESTUAIRE_KOMO_MONDAH,Komo-Mondah,6
CT_GAB,Gabon,ADM1_GAB_ESTUAIRE,Estuaire,ADM2_GAB_ESTUAIRE_KOMO_OCEAN,Komo-Océan,3
CT_GAB,Gabon,ADM1_GAB_ESTUAIRE,Estuaire,ADM2_GAB_ESTUAIRE_NOYA,Noya,3
CT_GAB,Gabon,ADM1_GAB_HAUT_OGOOUE,Haut-Ogooué,,Franceville,4
CT_GAB,Gabon,ADM1_GAB_HAUT_OGOOUE,Haut-Ogooué,ADM2_GAB_HAUT_OGOOUE_BAYI_BRIKOLO,Bayi-Brikolo,2
CT_GAB,Gabon,ADM1_GAB_HAUT_OGOOUE,Haut-Ogooué,ADM2_GAB_HAUT_OGOOUE_DJOUE,Djoue,3
CT_GAB,Gabon,ADM1_GAB_HAUT_OGOOUE,Haut-Ogooué,ADM2_GAB_HAUT_OGOOUE_DJOUOURI_AGUILLI,Djououri-Aguilli,3
CT_GAB,Gabon,ADM1_GAB_HAUT_OGOOUE,Haut-Ogooué,ADM2_GAB_HAUT_OGOOUE_LEKABI_LEWOLO,Lékabi-Léwolo,4
CT_GAB,Gabon,ADM1_GAB_HAUT_OGOOUE,Haut-Ogooué,ADM2_GAB_HAUT_OGOOUE_LEKONI_LEKORI,Lekoni-Lekori,5
CT_GAB,Gabon,ADM1_GAB_HAUT_OGOOUE,Haut-Ogooué,ADM2_GAB_HAUT_OGOOUE_LEKOKO,Lekoko,3
CT_GAB,Gabon,ADM1_GAB_HAUT_OGOOUE,Haut-Ogooué,ADM2_GAB_HAUT_OGOOUE_LEBOUMBI_LEYOU,Leboumbi-Leyou,4
CT_GAB,Gabon,ADM1_GAB_HAUT_OGOOUE,Haut-Ogooué,ADM2_GAB_HAUT_OGOOUE_MPASSA,Mpassa,3
CT_GAB,Gabon,ADM1_GAB_HAUT_OGOOUE,Haut-Ogooué,ADM2_GAB_HAUT_OGOOUE_OGOOUE_LETILI,Ogooué-Létili,3
CT_GAB,Gabon,ADM1_GAB_HAUT_OGOOUE,Haut-Ogooué,ADM2_GAB_HAUT_OGOOUE_PLATEAUX,Plateaux,4
CT_GAB,Gabon,ADM1_GAB_HAUT_OGOOUE,Haut-Ogooué,ADM2_GAB_HAUT_OGOOUE_SEBE_BRIKOLO,Sebe-Brikolo,6
CT_GAB,Gabon,ADM1_GAB_MOYEN_OGOOUE,Moyen-Ogooué,ADM2_GAB_MOYEN_OGOOUE_ABANGA_BIGNE,Abanga-Bigne,5
CT_GAB,Gabon,ADM1_GAB_MOYEN_OGOOUE,Moyen-Ogooué,ADM2_GAB_MOYEN_OGOOUE_OGOOUE_ET_DES_LACS,Ogooué et des Lacs,8
CT_GAB,Gabon,ADM1_GAB_NGOUNIE,Ngounié,ADM2_GAB_NGOUNIE_BOUMI_LOUETSI,Boumi-Louetsi,7
CT_GAB,Gabon,ADM1_GAB_NGOUNIE,Ngounié,ADM2_GAB_NGOUNIE_DOLA,Dola,3
CT_GAB,Gabon,ADM1_GAB_NGOUNIE,Ngounié,ADM2_GAB_NGOUNIE_DOUYA_ONOY,Douya-Onoye,4
CT_GAB,Gabon,ADM1_GAB_NGOUNIE,Ngounié,ADM2_GAB_NGOUNIE_LOUETSI_BIBAKA,Louetsi-Bibaka,3
CT_GAB,Gabon,ADM1_GAB_NGOUNIE,Ngounié,ADM2_GAB_NGOUNIE_LOUETSI_WANO,Louetsi-Wano,3
CT_GAB,Gabon,ADM1_GAB_NGOUNIE,Ngounié,ADM2_GAB_NGOUNIE_MOUGALABA,Mougalaba,3
CT_GAB,Gabon,ADM1_GAB_NGOUNIE,Ngounié,ADM2_GAB_NGOUNIE_NDOLOU,Ndolou,5
CT_GAB,Gabon,ADM1_GAB_NGOUNIE,Ngounié,ADM2_GAB_NGOUNIE_OGOULOU,Ogoulou,7
CT_GAB,Gabon,ADM1_GAB_NGOUNIE,Ngounié,ADM2_GAB_NGOUNIE_TSAMBA_MAGOTSI,Tsamba-Magotsi,6
CT_GAB,Gabon,ADM1_GAB_NYANGA,Nyanga,ADM2_GAB_NYANGA_BASSE_BANIO,Basse-Banio,4
CT_GAB,Gabon,ADM1_GAB_NYANGA,Nyanga,ADM2_GAB_NYANGA_DOUIGNI,Douigni,4
CT_GAB,Gabon,ADM1_GAB_NYANGA,Nyanga,ADM2_GAB_NYANGA_DOUTSILA,Doutsila,3
CT_GAB,Gabon,ADM1_GAB_NYANGA,Nyanga,ADM2_GAB_NYANGA_HAUTE_BANIO,Haute-Banio,3
CT_GAB,Gabon,ADM1_GAB_NYANGA,Nyanga,ADM2_GAB_NYANGA_MONGO,Mongo,3
CT_GAB,Gabon,ADM1_GAB_NYANGA,Nyanga,ADM2_GAB_NYANGA_MOUGOUTSI,Mougoutsi,4
CT_GAB,Gabon,ADM1_GAB_OGOOUE_IVINDO,Ogooué-Ivindo,ADM2_GAB_OGOOUE_IVINDO_IVINDO,Ivindo,6
CT_GAB,Gabon,ADM1_GAB_OGOOUE_IVINDO,Ogooué-Ivindo,ADM2_GAB_OGOOUE_IVINDO_LOPE,Lopé,6
CT_GAB,Gabon,ADM1_GAB_OGOOUE_IVINDO,Ogooué-Ivindo,ADM2_GAB_OGOOUE_IVINDO_MVOUNG,Mvoung,3
CT_GAB,Gabon,ADM1_GAB_OGOOUE_IVINDO,Ogooué-Ivindo,ADM2_GAB_OGOOUE_IVINDO_ZADIE,Zadié,5
CT_GAB,Gabon,ADM1_GAB_OGOOUE_LOLO,Ogooué-Lolo,ADM2_GAB_OGOOUE_LOLO_LOLO_BOUENGUIDI,Lolo-Bouenguidi,5
CT_GAB,Gabon,ADM1_GAB_OGOOUE_LOLO,Ogooué-Lolo,ADM2_GAB_OGOOUE_LOLO_LOMBO_BOUENGUIDI,Lombo-Bouenguidi,3
CT_GAB,Gabon,ADM1_GAB_OGOOUE_LOLO,Ogooué-Lolo,ADM2_GAB_OGOOUE_LOLO_MOULOUNDOU,Mouloundou,6
CT_GAB,Gabon,ADM1_GAB_OGOOUE_LOLO,Ogooué-Lolo,ADM2_GAB_OGOOUE_LOLO_OFFOUE_ONOYE,Offoué-Onoye,3
CT_GAB,Gabon,ADM1_GAB_OGOOUE_MARITIME,Ogooué-Maritime,ADM2_GAB_OGOOUE_MARITIME_BENDJE,Bendjé,4
CT_GAB,Gabon,ADM1_GAB_OGOOUE_MARITIME,Ogooué-Maritime,ADM2_GAB_OGOOUE_MARITIME_ETIMBOUE,Etimboué,4
CT_GAB,Gabon,ADM1_GAB_OGOOUE_MARITIME,Ogooué-Maritime,ADM2_GAB_OGOOUE_MARITIME_NDOUGOU,Ndougou,4
CT_GAB,Gabon,ADM1_GAB_WOLEU_NTEM,Woleu-Ntem,ADM2_GAB_WOLEU_NTEM_HAUT_KOMO,Haut-Komo,3
CT_GAB,Gabon,ADM1_GAB_WOLEU_NTEM,Woleu-Ntem,ADM2_GAB_WOLEU_NTEM_HAUT_NTEM,Haut-Ntem,4
CT_GAB,Gabon,ADM1_GAB_WOLEU_NTEM,Woleu-Ntem,ADM2_GAB_WOLEU_NTEM_NTEM,Ntem,8
CT_GAB,Gabon,ADM1_GAB_WOLEU_NTEM,Woleu-Ntem,ADM2_GAB_WOLEU_NTEM_OKANO,Okano,5
CT_GAB,Gabon,ADM1_GAB_WOLEU_NTEM,Woleu-Ntem,ADM2_GAB_WOLEU_NTEM_WOLEU,Woleu,6
