continent_id,continent_name
CONT_AFRICA,Africa
CONT_AMERICAS,Americas
CONT_ASIA,Asia
CONT_EUROPE,Europe
CONT_OCEANIA,Oceania
CONT_ANTARCTICA,Antarctica
