THE SPECIE,RACE,CONTINENT,SUB-CONTINENT,SUB-REGION,NATIONALITY,ETHNICITY,REGION,STATE,SENATORIAL DISTRICT,FEDERAL CONSTITUENCY,LOCAL GOVERNMENT AREA,STATE CONSTITUENCY,TOWN,TOWN QUARTER,OBI AREAS,CLAN,VILLAGE,KINDRED/HAMLET, UMUNNA ,,EXT. FAMILY,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,UMUNNEMOLISA,NWOKEDI,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,UMUNNEMOLISA,OBIMORO,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,UMUNNEMOLISA,ONYEKWERE,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,UMUNNEMOLISA,AGUBOSI,IHENATUOHA,THOMAS,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,UMUNNEMOLISA,AGUBOSI,IHENATUOHA,OKAFOR,"EMMANUEL 
NONYE","GINIKACHUKWU
NELSON",MUNACHI,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,UMUNNEMOLISA,AGUBOSI,IHENATUOHA,OKAFOR,"EMMANUEL 
NONYE","GINIKACHUKWU
NELSON",KAMSI,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,UMUNNEMOLISA,AGUBOSI,IHENATUOHA,OKAFOR,"EMMANUEL 
NONYE","GINIKACHUKWU
NELSON",CHIEMELIE,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,UMUNNEMOLISA,AGUBOSI,IHENATUOHA,OKAFOR,"EMMANUEL 
NONYE",ODERA HENRY,SOMTOCHUKWU,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,UMUNNEMOLISA,AGUBOSI,IHENATUOHA,OKAFOR,"EMMANUEL 
NONYE",LARRY IFECHUKWU,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,UMUNNEMOLISA,AGUBOSI,IHENATUOHA,OKAFOR,"EMMANUEL 
NONYE",NZUBE ISIDORE,GODSWILL,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,UMUNNEMOLISA,AGUBOSI,IHENATUOHA,OKAFOR,GREGORY OBI,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,UMUNNEMOLISA,AGUBOSI,IHENATUOHA,OKAFOR,PATRICK CHUKWUNYERE,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,UMUNNEMOLISA,AGUBOSI,IKENEJERE,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,UMUNNEMOLISA,AGUBOSI,ABAZU,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,UMUNNEMOLISA,UKOHA,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,OBIEJESI,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,UMUIROBI,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,UMUBAMJAKA,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,UMUNKEMJEME,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,UMUOHANU,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,OHADASI,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,ONYEKWELEONWU,,,,,,,,,,,,
