THE SPECIE,RACE,CONTINENT,SUB-CONTINENT,SUB-REGION,NATIONALITY,ETHNICITY,REGION,STATE,SENATORIAL DISTRICT,FEDERAL CONSTITUENCY,LOCAL GOVERNMENT AREA,STATE CONSTITUENCY,TOWN,TOWN DIVISION,TOWN QUARTERS,CLAN,VILLAGE,HAMLET,KINDRED, UMUNNA ,EXTENDED FAMILY,GREAT GRAND FAMILY,GRAND FAMILY,FAMILY,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Source_Sheet,TOWN QUARTER,OBI AREAS,KINDRED/HAMLET,Unnamed: 20,EXT. FAMILY,Unnamed: 22,Unnamed: 23,CHAIRMAN,SECRETARY,Unnamed: 21,Unnamed: 24,QUARTERS,VILLAGES, UMUNNA (EXT. FAMILY),OKPARA
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ABIA,ABIA CENTRAL,"OBINGWA/UGWUNAGBO/
OSISIOMA",OSISIOMA,OSISIOMA SOUTH,OKPU-UMUOBO,,,,,,,,,,,,,,,,,,,ABIA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ABIA,ABIA CENTRAL,"OBINGWA/UGWUNAGBO/
OSISIOMA",OSISIOMA,OSISIOMA SOUTH,AMAITOLI,,,,,,,,,,,,,,,,,,,ABIA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ABIA,ABIA CENTRAL,"OBINGWA/UGWUNAGBO/
OSISIOMA",OSISIOMA,OSISIOMA SOUTH,ARO-NGWA,,,,,,,,,,,,,,,,,,,ABIA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ABIA,ABIA CENTRAL,"OBINGWA/UGWUNAGBO/
OSISIOMA",OSISIOMA,OSISIOMA SOUTH,AMASA,,,,,,,,,,,,,,,,,,,ABIA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ABIA,ABIA CENTRAL,"OBINGWA/UGWUNAGBO/
OSISIOMA",OSISIOMA,OSISIOMA SOUTH,OSO-OKWA,,,,,,,,,,,,,,,,,,,ABIA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ABIA,ABIA CENTRAL,"OBINGWA/UGWUNAGBO/
OSISIOMA",OSISIOMA,OSISIOMA SOUTH,UMUNNEISE,,,,,,,,,,,,,,,,,,,ABIA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ABIA,ABIA CENTRAL,"OBINGWA/UGWUNAGBO/
OSISIOMA",OSISIOMA,OSISIOMA SOUTH,OKPU-UMUOBI,,,,,,,,,,,,,,,,,,,ABIA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ABIA,ABIA CENTRAL,"IKWUANO/UMUAHIA NORTH
/UMUAHIA SOUTH",IKWUANO,IKWUANO,OBORO,,,,,,,,,,,,,,,,,,,ABIA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ABIA,ABIA CENTRAL,"IKWUANO/UMUAHIA NORTH
/UMUAHIA SOUTH",IKWUANO,IKWUANO,IBERE,,,,,,,,,,,,,,,,,,,ABIA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ABIA,ABIA CENTRAL,"IKWUANO/UMUAHIA NORTH
/UMUAHIA SOUTH",IKWUANO,IKWUANO,ARIAM/USAKA,,,,,,,,,,,,,,,,,,,ABIA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ABIA,ABIA CENTRAL,"IKWUANO/UMUAHIA NORTH
/UMUAHIA SOUTH",IKWUANO,IKWUANO,OLOKO,,,,,,,,,,,,,,,,,,,ABIA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ABIA,ABIA CENTRAL,"IKWUANO/UMUAHIA NORTH
/UMUAHIA SOUTH",UMUAHIA NORTH,UMUAHIA EAST,UMUOKPARA,,,,,,,,,,,,,,,,,,,ABIA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ABIA,ABIA CENTRAL,"IKWUANO/UMUAHIA NORTH
/UMUAHIA SOUTH",UMUAHIA NORTH,UMUAHIA EAST,IBEKU,,,,,,,,,,,,,,,,,,,ABIA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ABIA,ABIA CENTRAL,"IKWUANO/UMUAHIA NORTH
/UMUAHIA SOUTH",UMUAHIA NORTH,UMUAHIA EAST,OHOKOBE,,,,,,,,,,,,,,,,,,,ABIA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ABIA,ABIA CENTRAL,"IKWUANO/UMUAHIA NORTH
/UMUAHIA SOUTH",UMUAHIA NORTH,UMUAHIA EAST,UMUAGU,,,,,,,,,,,,,,,,,,,ABIA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ABIA,ABIA CENTRAL,"IKWUANO/UMUAHIA NORTH
/UMUAHIA SOUTH",UMUAHIA NORTH,UMUAHIA EAST,UMUAWA-ALAOCHA,,,,,,,,,,,,,,,,,,,ABIA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ABIA,ABIA CENTRAL,"IKWUANO/UMUAHIA NORTH
/UMUAHIA SOUTH",UMUAHIA NORTH,UMUAHIA EAST,UMUAGBAI,,,,,,,,,,,,,,,,,,,ABIA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ABIA,ABIA CENTRAL,"IKWUANO/UMUAHIA NORTH
/UMUAHIA SOUTH",UMUAHIA NORTH,UMUAHIA CENTRAL,UMUAGU-ISINGWU,,,,,,,,,,,,,,,,,,,ABIA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ABIA,ABIA CENTRAL,"IKWUANO/UMUAHIA NORTH
/UMUAHIA SOUTH",UMUAHIA SOUTH,UMUAHIA WEST,OLD UMUAHIA,,,,,,,,,,,,,,,,,,,ABIA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ABIA,ABIA CENTRAL,"IKWUANO/UMUAHIA NORTH
/UMUAHIA SOUTH",UMUAHIA SOUTH,UMUAHIA WEST,APUMIRI,,,,,,,,,,,,,,,,,,,ABIA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ABIA,ABIA CENTRAL,"IKWUANO/UMUAHIA NORTH
/UMUAHIA SOUTH",UMUAHIA SOUTH,UMUAHIA WEST,UBAKALA,,,,,,,,,,,,,,,,,,,ABIA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ABIA,ABIA CENTRAL,"IKWUANO/UMUAHIA NORTH
/UMUAHIA SOUTH",UMUAHIA SOUTH,UMUAHIA WEST,OLOKORO,,,,,,,,,,,,,,,,,,,ABIA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ABIA,ABIA CENTRAL,"IKWUANO/UMUAHIA NORTH
/UMUAHIA SOUTH",UMUAHIA SOUTH,UMUAHIA WEST,UMUOPARA,,,,,,,,,,,,,,,,,,,ABIA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,EBONYI ,EBONYI NORTH,ABAKILIKI/IZZI,ABAKALIKI,ABAKALIKI NORTH,ABAKALIKI (RURAL),,,,,,,,,,,,,,,,,,,EBONYI,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,EBONYI ,EBONYI NORTH,ABAKILIKI/IZZI,ABAKALIKI,ABAKALIKI NORTH,AGBALIKI,,,,,,,,,,,,,,,,,,,EBONYI,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,EBONYI ,EBONYI NORTH,ABAKILIKI/IZZI,ABAKALIKI,ABAKALIKI NORTH,AMACHI,,,,,,,,,,,,,,,,,,,EBONYI,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,EBONYI ,EBONYI NORTH,ABAKILIKI/IZZI,ABAKALIKI,ABAKALIKI NORTH,AMAGU,,,,,,,,,,,,,,,,,,,EBONYI,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,EBONYI ,EBONYI NORTH,ABAKILIKI/IZZI,ABAKALIKI,ABAKALIKI NORTH,AMIKE ABA,,,,,,,,,,,,,,,,,,,EBONYI,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,EBONYI ,EBONYI NORTH,ABAKILIKI/IZZI,ABAKALIKI,ABAKALIKI NORTH,AMOZU,,,,,,,,,,,,,,,,,,,EBONYI,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,EBONYI ,EBONYI NORTH,ABAKILIKI/IZZI,ABAKALIKI,ABAKALIKI NORTH,ECHIABA,,,,,,,,,,,,,,,,,,,EBONYI,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,EBONYI ,EBONYI NORTH,ABAKILIKI/IZZI,ABAKALIKI,ABAKALIKI SOUTH,ENYINGBA,,,,,,,,,,,,,,,,,,,EBONYI,,,,,,,,,,,,,,,
