id,name,stateId,officialOrder
akwa_ibom_nsit_ibom,Nsit Ibom,akwa_ibom,18
akwa_ibom_nsit_ubium,Nsit Ubium,akwa_ibom,19
akwa_ibom_obot_akara,Obot Akara,akwa_ibom,20
akwa_ibom_okobo,Okobo,akwa_ibom,21
akwa_ibom_onna,Onna,akwa_ibom,22
akwa_ibom_oron,Oron,akwa_ibom,23
akwa_ibom_oruk_anam,Oruk Anam,akwa_ibom,24
akwa_ibom_ukanafun,Ukanafun,akwa_ibom,25
akwa_ibom_udung_uko,Udung Uko,akwa_ibom,26
akwa_ibom_uruan,Uruan,akwa_ibom,27
akwa_ibom_urue_offong_oruko,Urue Offong Oruko,akwa_ibom,28
akwa_ibom_uyo,Uyo,akwa_ibom,29
akwa_ibom_ibesikpo_asutan,Ibesikpo Asutan,akwa_ibom,30
akwa_ibom_nsit_ubium_east,Nsit Ubium East,akwa_ibom,31
,,,
bayelsa_brass,Brass,bayelsa,1
bayelsa_ekeremor,Ekeremor,bayelsa,2
bayelsa_kolokuma_opokuma,Kolokuma/Opokuma,bayelsa,3
bayelsa_nembe,Nembe,bayelsa,4
bayelsa_ogbia,Ogbia,bayelsa,5
bayelsa_sagbama,Sagbama,bayelsa,6
bayelsa_southern_ijaw,Southern Ijaw,bayelsa,7
bayelsa_yenagoa,Yenagoa,bayelsa,8
,,,
cross_river_abi,Abi,cross_river,1
cross_river_akampka,Akampka,cross_river,2
cross_river_akpabuyo,Akpabuyo,cross_river,3
cross_river_bakassi,Bakassi,cross_river,4
cross_river_bekwarra,Bekwarra,cross_river,5
cross_river_biase,Biase,cross_river,6
cross_river_boki,Boki,cross_river,7
cross_river_calabar_municipality,Calabar Municipality,cross_river,8
cross_river_calabar_south,Calabar South,cross_river,9
cross_river_etung,Etung,cross_river,10
cross_river_ikom,Ikom,cross_river,11
cross_river_obanliku,Obanliku,cross_river,12
cross_river_obubra,Obubra,cross_river,13
cross_river_obudu,Obudu,cross_river,14
cross_river_odukpani,Odukpani,cross_river,15
cross_river_ogoja,Ogoja,cross_river,16
cross_river_yakurr,Yakurr,cross_river,17
cross_river_yala,Yala,cross_river,18
,,,
rivers_aboa_odual,Aboa/Odual,rivers,1
rivers_ahoda_east,Ahoda East,rivers,2
rivers_ahoda_west,Ahoda West,rivers,3
rivers_akuku_toru,Akuku Toru,rivers,4
rivers_andoni,Andoni,rivers,5
rivers_asari_toru,Asari Toru,rivers,6
rivers_bonny,Bonny,rivers,7
rivers_degema,Degema,rivers,8
rivers_eleme,Eleme,rivers,9
rivers_emohua,Emohua,rivers,10
rivers_etche,Etche,rivers,11
rivers_gokana,Gokana,rivers,12
rivers_ikwerre,Ikwerre,rivers,13
rivers_khana,Khana,rivers,14
rivers_obio_akpor,Obio/Akpor,rivers,15
rivers_ogba_egbema_ndoni,Ogba/Egbema/Ndoni,rivers,16
rivers_ogu_bolo,Ogu/Bolo,rivers,17
rivers_okrika,Okrika,rivers,18
rivers_omuma,Omuma,rivers,19
rivers_opobo_nkoro,Opobo/Nkoro,rivers,20
rivers_oyigbo,Oyigbo,rivers,21
rivers_port_harcourt,Port Harcourt,rivers,22
rivers_tai,Tai,rivers,23
,,,
kogi_adavi,Adavi,kogi,1
kogi_ajaokuta,Ajaokuta,kogi,2
kogi_ankpa,Ankpa,kogi,3
kogi_bassa,Bassa,kogi,4
kogi_dekina,Dekina,kogi,5
kogi_ibaji,Ibaji,kogi,6
kogi_idah,Idah,kogi,7
kogi_igalamela_odolu,Igalamela Odolu,kogi,8
kogi_ijumu,Ijumu,kogi,9
kogi_kabba_bunu,Kabba/Bunu,kogi,10
kogi_kogi,Kogi,kogi,11
kogi_lokoja,Lokoja,kogi,12
kogi_mopa_muro,Mopa Muro,kogi,13
kogi_ofu,Ofu,kogi,14
kogi_ogori_magongo,Ogori/Magongo,kogi,15
kogi_okehi,Okehi,kogi,16
kogi_okene,Okene,kogi,17
kogi_omala,Omala,kogi,18
kogi_yagba_east,Yagba East,kogi,19
kogi_yagba_west,Yagba West,kogi,20
kogi_ogori,Ogori,kogi,21
